age_17_19,age_20_24,age_25_29,age_30_34,age_35_44,age_45_54,age_55_64,age_65_69,wasi_total
20,20,20,20,20,20,22,23,0
20,20,20,20,20,20,23,25,1
20,20,20,20,20,21,24,26,2
20,20,20,20,20,23,26,28,3
20,20,20,20,20,24,27,29,4
20,20,20,20,21,25,28,30,5
20,20,20,20,22,27,30,32,6
20,20,20,20,24,28,31,34,7
20,20,20,22,25,30,33,35,8
20,20,20,24,27,31,34,37,9
20,20,21,25,29,33,36,38,10
20,21,22,27,30,34,37,40,11
21,23,24,29,32,36,39,41,12
23,25,26,30,34,38,41,43,13
25,27,28,32,36,39,42,44,14
27,29,30,34,37,41,44,46,15
29,31,32,36,39,42,45,48,16
31,33,34,37,40,44,47,49,17
33,35,36,39,42,45,49,51,18
35,37,38,41,44,47,50,52,19
37,39,40,43,46,49,52,54,20
39,41,42,45,47,50,53,55,21
41,43,44,47,48,52,55,57,22
43,45,46,49,49,53,57,59,23
45,47,48,50,50,54,58,60,24
47,49,50,52,52,56,59,62,25
49,51,52,54,54,58,61,63,26
51,53,54,56,56,59,62,65,27
53,55,56,58,58,61,64,67,28
55,57,58,60,60,63,66,69,29
57,59,60,62,62,65,68,71,30
59,61,62,64,64,67,70,73,31
61,63,64,66,66,69,72,75,32
63,65,66,68,68,,,,33
65,67,68,70,70,,,,34
67,69,70,72,72,,,,35
